,distribution,params,step_size,modes_covered,ess,sliced_TV,emd
371,Normal,"mu: 6.0, sigma: 1.0",1.8,7.82,0.008,0.184,22.1
372,Normal,"mu: 6.0, sigma: 1.5",1.6,4.42,0.002,0.236,26.92
373,Normal,"mu: 7.0, sigma: 0.5",0.6,1.0,0.014,0.479,39.77
374,Normal,"mu: 7.0, sigma: 0.5",0.8,1.0,0.015,0.476,39.16
375,Normal,"mu: 7.0, sigma: 0.5",1.0,1.0,0.011,0.46,38.53
376,Normal,"mu: 7.0, sigma: 0.5",1.2000000000000002,1.0,0.139,0.439,38.52
377,Normal,"mu: 7.0, sigma: 0.5",1.4000000000000001,1.0,0.409,0.419,38.22
378,Normal,"mu: 7.0, sigma: 0.5",1.6,0.62,0.005,0.386,37.19
379,Normal,"mu: 7.0, sigma: 0.5",1.8,0.0,0.002,0.242,30.49
380,Normal,"mu: 7.0, sigma: 1.0",0.6,1.0,0.013,0.484,39.21
381,Normal,"mu: 7.0, sigma: 1.0",0.8,1.0,0.021,0.492,39.08
382,Normal,"mu: 7.0, sigma: 1.0",1.0,1.0,0.014,0.462,39.01
383,Normal,"mu: 7.0, sigma: 1.0",1.2000000000000002,1.0,-0.034,0.444,38.68
384,Normal,"mu: 7.0, sigma: 1.0",1.4000000000000001,1.0,0.106,0.426,37.68
385,Normal,"mu: 7.0, sigma: 1.0",1.6,1.78,0.001,0.343,34.8
386,Normal,"mu: 7.0, sigma: 1.0",1.8,6.04,0.007,0.185,24.59
387,Normal,"mu: 7.0, sigma: 1.5",0.6,1.0,0.011,0.48,39.5
388,Normal,"mu: 7.0, sigma: 1.5",0.8,1.0,0.012,0.469,38.91
389,Normal,"mu: 7.0, sigma: 1.5",1.0,1.0,0.011,0.462,38.11
390,Normal,"mu: 7.0, sigma: 1.5",1.2000000000000002,1.0,0.053,0.446,38.61
391,Normal,"mu: 7.0, sigma: 1.5",1.4000000000000001,1.26,0.002,0.418,38.0
392,Normal,"mu: 7.0, sigma: 1.5",1.6,3.34,0.002,0.265,27.06
